time;value
2022-07-27T00:00:00.000Z;-0.030676
2022-07-27T02:00:00.000Z;-0.275457
2022-07-27T04:00:00.000Z;0.090909
2022-07-27T06:00:00.000Z;-0.029005
2022-07-27T08:00:00.000Z;-0.030886
2022-07-27T10:00:00.000Z;-0.009266
2022-07-27T12:00:00.000Z;0.016251
2022-07-27T14:00:00.000Z;0.140364
2022-07-27T16:00:00.000Z;-0.165058
2022-07-27T18:00:00.000Z;-0.014875
2022-07-27T20:00:00.000Z;0.078432
2022-07-27T22:00:00.000Z;0.015691
2022-07-28T00:00:00.000Z;-0.088549
2022-07-28T02:00:00.000Z;-0.088469
2022-07-28T04:00:00.000Z;0.005386
2022-07-28T06:00:00.000Z;0.279988
2022-07-28T08:00:00.000Z;-0.138932
2022-07-28T10:00:00.000Z;-0.205647
2022-07-28T12:00:00.000Z;-0.091501
2022-07-28T14:00:00.000Z;0.00659
2022-07-28T16:00:00.000Z;0.027979
2022-07-28T18:00:00.000Z;-0.338583
2022-07-28T20:00:00.000Z;-0.48422
2022-07-28T22:00:00.000Z;-0.291915
2022-07-29T00:00:00.000Z;-0.207291
2022-07-29T02:00:00.000Z;-0.344653
2022-07-29T04:00:00.000Z;-0.03556
2022-07-29T06:00:00.000Z;-0.365018
2022-07-29T08:00:00.000Z;-0.620819
2022-07-29T10:00:00.000Z;-0.697146
2022-07-29T12:00:00.000Z;-0.698246
2022-07-29T14:00:00.000Z;-0.465935
2022-07-29T16:00:00.000Z;-0.577686
2022-07-29T18:00:00.000Z;-0.279442
2022-07-29T20:00:00.000Z;-0.29299
2022-07-29T22:00:00.000Z;-0.324254
2022-07-30T00:00:00.000Z;-0.128871
2022-07-30T02:00:00.000Z;-0.303202
2022-07-30T04:00:00.000Z;-0.177835
2022-07-30T06:00:00.000Z;-0.729361
2022-07-30T08:00:00.000Z;0.056682
2022-07-30T10:00:00.000Z;-0.238101
2022-07-30T12:00:00.000Z;-0.084826
2022-07-30T14:00:00.000Z;-0.195019
2022-07-30T16:00:00.000Z;-0.093372
2022-07-30T18:00:00.000Z;-0.0965
2022-07-30T20:00:00.000Z;-0.097128
2022-07-30T22:00:00.000Z;-0.2697
2022-07-31T00:00:00.000Z;-0.086605
2022-07-31T02:00:00.000Z;-0.35576
2022-07-31T04:00:00.000Z;-0.297632
2022-07-31T06:00:00.000Z;-0.540223
2022-07-31T08:00:00.000Z;-0.005631
2022-07-31T10:00:00.000Z;-0.484468
2022-07-31T12:00:00.000Z;-0.234214
2022-07-31T14:00:00.000Z;-0.103205
2022-07-31T16:00:00.000Z;-0.199293
2022-07-31T18:00:00.000Z;-0.143951
2022-07-31T20:00:00.000Z;-0.24282
2022-07-31T22:00:00.000Z;-0.245366
2022-08-01T00:00:00.000Z;-0.107364
2022-08-01T02:00:00.000Z;-0.413735
2022-08-01T04:00:00.000Z;-0.227837
2022-08-01T06:00:00.000Z;-0.548413
2022-08-01T08:00:00.000Z;-0.646415
